"","system","species","n"
"1","Bertrand","CO",2
"2","Bertrand","CRAYFISH",14
"3","Bertrand","CUT",30
"4","Bertrand","DAC",126
"5","Bertrand","LAMP",2
"6","Bertrand","RBT",17
"7","Bertrand","STK",41
"8","Pepin","CO",102
"9","Pepin","CRAYFISH",40
"10","Pepin","CUT",79
"11","Pepin","DAC",15
"12","Pepin","LAMP",199
"13","Pepin","RBT",58
"14","Pepin","STK",94
"15","Pepin","TROUT",31
